SampleID,Site,Depth (cm),Gravel (%),Sand (%),Silt & Clay (%)
BF 4-1B,BF4,0--1,0.8,76.3,22.9
BF 4-1B,BF4,1--3,3.3,72.6,24.2
BF 4-2,BF4,0--1,0.0,64.8,35.2
BF 4-2,BF4,1--3,2.2,59.1,38.7
BF 4-3A,BF4,0--1,2.8,70.3,26.9
BF 4-3A,BF4,1--3,10.3,61.3,28.4
BF 4-3B,BF4,0--1,4.6,60.1,35.3
BF 4-3B,BF4,1--3,8.9,63.1,28.0
BF 4-4,BF4,0--1,9.0,70.1,20.9
BF 4-4,BF4,1--3,14.0,63.0,22.9
BF 4-5A,BF4,0--1,3.8,55.4,40.8
BF 4-5A,BF4,1--3,9.3,65.2,25.6
BF 4-5B,BF4,0--1,0.0,73.9,26.1
BF 4-5B,BF4,1--3,1.4,72.2,26.4
BF 4-6,BF4,0--1,0.3,87.3,12.5
BF 4-6,BF4,1--3,5.6,68.1,26.4
BF 4-7A,BF4,0--1,1.7,87.2,11.1
BF 4-7A,BF4,1--3,3.7,66.5,29.8
BF 4-7B,BF4,0--1,0.5,60.8,38.7
BF 4-7B,BF4,1--3,6.7,61.5,31.7
BF 4-8,BF4,0--1,3.8,76.4,19.9
BF 4-8,BF4,1--3,11.3,61.0,27.7
BF 4-9A,BF4,0--1,9.7,62.5,27.8
BF 4-9A,BF4,1--3,9.2,66.8,23.9
BF 4-9B,BF4,0--1,11.3,57.7,31.1
BF 4-9B,BF4,1--3,13.5,55.6,30.9
BF 4-10,BF4,0--1,5.1,69.7,25.2
BF 4-10,BF4,1--3,8.1,68.6,23.4
BF 2-1A,BF2,0--1,2.8,62.9,34.3
BF 2-1A,BF2,1--3,7.6,64.9,27.5
BF 2-1B,BF2,0--1,4.2,57.1,38.7
BF 2-1B,BF2,1--3,10.9,60.7,28.5
BF 2-2,BF2,0--1,1.9,46.0,52.1
BF 2-2,BF2,1--3,3.2,63.1,33.7
BF 2-3A,BF2,0--1,6.1,65.3,28.6
BF 2-3A,BF2,1--3,7.6,67.9,24.6
BF 2-3B,BF2,0--1,5.0,75.5,19.4
BF 2-3B,BF2,1--3,8.0,71.3,20.7
BF 2-4,BF2,0--1,0.3,58.8,40.9
BF 2-4,BF2,1--3,0.9,60.4,38.8
BF 2-5A,BF2,0--1,0.0,60.6,39.4
BF 2-5A,BF2,1--3,0.6,71.6,27.8
BF 2-5B,BF2,0--1,0.0,70.8,29.2
BF 2-5B,BF2,1--3,5.1,69.7,25.3
BF 2-6,BF2,0--1,9.3,66.7,24.0
BF 2-6,BF2,1--3,13.6,65.6,20.8
BF 2-7A,BF2,0--1,4.2,74.9,20.9
BF 2-7A,BF2,1--3,6.1,70.4,23.5
BF 2-7B,BF2,0--1,4.5,82.4,13.1
BF 2-7B,BF2,1--3,5.9,72.8,21.3
BF 2-8,BF2,0--1,2.8,81.9,15.3
BF 2-8,BF2,1--3,5.6,68.2,26.2
BF 2-9A,BF2,0--1,3.5,64.4,32.1
BF 2-9A,BF2,1--3,9.5,57.0,33.5
BF 2-9B,BF2,0--1,1.8,63.4,34.9
BF 2-9B,BF2,1--3,3.8,56.0,40.2
BF 2-10,BF2,0--1,1.0,65.9,33.2
BF 2-10,BF2,1--3,3.7,62.6,33.8
BF 1-1A,BF1,0--1,0.0,64.0,36.0
BF 1-1A,BF1,1--3,0.0,65.6,34.4
BF 1-1B,BF1,0--1,0.0,56.7,43.3
BF 1-1B,BF1,1--3,0.0,71.5,28.5
BF 1-2,BF1,0--1,2.8,56.0,41.2
BF 1-2,BF1,1--3,3.1,67.4,29.5
BF 1-3A,BF1,0--1,26.8,49.4,23.8
BF 1-3A,BF1,1--3,19.3,59.9,20.8
BF 1-3B,BF1,0--1,25.2,50.3,24.5
BF 1-3B,BF1,1--3,23.1,57.7,19.1
BF 1-4,BF1,0--1,0.5,61.1,38.5
BF 1-4,BF1,1--3,2.8,66.3,30.9
BF 1-5A,BF1,0--1,3.4,73.3,23.3
BF 1-5A,BF1,1--3,0.5,61.1,38.4
BF 1-5B,BF1,0--1,1.1,89.3,9.6
BF 1-5B,BF1,1--3,0.8,72.4,26.8
BF 1-6,BF1,0--1,0.0,67.5,32.5
BF 1-6,BF1,1--3,0.8,74.6,24.5
BF 1-7A,BF1,0--1,4.0,75.3,20.7
BF 1-7A,BF1,1--3,3.7,78.2,18.1
BF 1-7B,BF1,0--1,5.6,69.1,25.3
BF 1-7B,BF1,1--3,5.7,74.8,19.5
BF 1-8,BF1,0--1,5.4,55.2,39.5
BF 1-8,BF1,1--3,3.6,63.4,33.0
BF 1-9A,BF1,0--1,1.0,63.3,35.7
BF 1-9A,BF1,1--3,3.8,69.4,26.7
BF 1-9B,BF1,0--1,0.4,59.8,39.7
BF 1-9B,BF1,1--3,8.5,70.9,20.5
BF 1-10,BF1,0--1,3.1,55.0,41.9
BF 1-10,BF1,1--3,7.8,48.1,44.1
